"id","satysfakcja","cena","obsluga"
"1","3",96.8672247370705,10
"2","3",156.243548332714,7
"3","2",89.7526709130034,9
"4","2",139.151479105931,7
"5","3",122.193470073398,10
"6","5",89.7549097193405,4
"7","4",134.688565216493,8
"8","1",186.978233454283,9
"9","2",185.281158424914,9
"10","3",91.1249932250939,9
"11","5",98.2224134611897,5
"12","3",197.846132656559,7
"13","3",142.998996528331,6
"14","1",190.597113373224,1
"15","4",119.979905348737,10
"16","1",111.02488898905,10
"17","1",148.884548631031,1
"18","5",72.8519925265573,10
"19","3",135.930058732629,1
"20","2",85.808904026635,10
"21","2",194.353840465192,5
"22","1",140.204858896323,7
"23","3",127.254459087271,5
"24","4",110.386001330335,10
"25","1",182.036981184501,9
"26","3",104.613779718056,4
"27","5",93.235892103985,6
"28","4",75.5967852659523,2
"29","2",75.8257619570941,1
"30","5",122.306390828453,5
"31","1",87.9447392770089,9
"32","1",82.4382184422575,4
"33","2",151.156458212063,3
"34","3",57.1495441137813,9
"35","4",155.127963121049,1
"36","5",102.783295768313,2
"37","5",111.341599689331,4
"38","3",173.142698593438,10
"39","1",187.828602222726,1
"40","2",92.3792495159432,5
"41","5",194.165719056036,5
"42","5",159.259164240211,9
"43","4",152.956262300722,8
"44","5",57.9265914158896,7
"45","2",109.283020196017,9
"46","1",121.676806977484,5
"47","1",134.037989552598,2
"48","3",154.739239229821,10
"49","1",187.352530763019,6
"50","5",142.752684105653,7
"51","1",114.263226313051,9
"52","2",131.312055082526,1
"53","4",58.7717732880265,5
"54","4",89.1285285586491,5
"55","3",109.572792996187,8
"56","1",79.6617105021141,5
"57","2",174.789134424645,7
"58","1",72.9330834234133,4
"59","2",170.512781303842,2
"60","4",132.023923483212,1
"61","5",149.347646301612,1
"62","5",75.7547740824521,2
"63","3",144.958303973544,1
"64","1",96.7804620158859,2
"65","4",158.683151961304,8
"66","1",109.840973699465,1
"67","1",195.403461670503,3
"68","3",195.109755592421,2
"69","4",159.005380852614,2
"70","1",88.5825119679794,5
"71","3",83.2681901985779,9
"72","5",138.956847751979,10
"73","3",90.1282148202881,6
"74","2",129.66055982979,10
"75","5",167.79375069309,10
"76","5",75.2091215807013,6
"77","3",110.659877152648,3
"78","2",120.73644164484,4
"79","2",180.216021032538,3
"80","2",188.856193376705,7
"81","4",182.296633895021,3
"82","2",151.12802637741,2
"83","2",192.525046900846,7
"84","4",127.466734137852,3
"85","4",136.47785319481,9
"86","1",100.449680886231,7
"87","3",102.098694711458,9
"88","3",53.0036450829357,4
"89","1",125.421956845094,2
"90","3",180.656512046698,6
"91","5",50.9451175923459,10
"92","2",60.8085685991682,9
"93","3",74.6316837496124,7
"94","2",165.550111141056,5
"95","5",160.277645871975,1
"96","5",195.781345351133,3
"97","3",119.97085652547,2
"98","4",61.1576769966632,5
"99","4",147.322718647774,1
"100","4",163.788975425996,3
